City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
262,maldonado,-34.6667,-54.9167,21.66,67,48,4.31,UY,1675829819
263,arman,59.7,150.1667,-22.77,78,32,3.33,RU,1675830038
264,ranong,9.9658,98.6348,32.96,54,11,1.26,TH,1675830038
265,constitucion,-35.3333,-72.4167,15.73,66,0,4.1,CL,1675829812
266,mwinilunga,-11.7358,24.4293,15.72,98,100,1.89,ZM,1675830039
267,taoudenni,22.6783,-3.9836,16.53,22,82,5.13,ML,1675830039
268,ribas do rio pardo,-20.4431,-53.7592,21.02,97,83,1.32,BR,1675830040
269,tezu,27.9167,96.1667,21.6,42,99,1.48,IN,1675829877
270,ardmore,34.1743,-97.1436,6.92,95,100,4.63,US,1675830000
271,beipiao,41.7919,120.7792,2.16,14,1,3.85,CN,1675830040
272,kudahuvadhoo,2.6708,72.8944,26.93,71,22,2.86,MV,1675830041
273,bethel,41.3712,-73.414,3.2,85,75,0.0,US,1675829555
274,vanimo,-2.6741,141.3028,25.43,94,100,4.05,PG,1675830041
275,bredy,52.4153,60.3411,-21.53,100,100,2.69,RU,1675830041
276,adrar,20.5022,-10.0711,13.87,25,93,4.82,MR,1675829634
277,bairiki,1.3292,172.9752,30.0,62,20,6.17,KI,1675829902
278,rajura,19.7833,79.3667,26.09,26,2,2.24,IN,1675830042
279,dali,25.7,100.1833,13.4,32,0,2.96,CN,1675830042
280,babaeski,41.4325,27.0931,-3.24,77,8,4.7,TR,1675830043
281,kargopol,61.5071,38.9456,-3.71,91,100,3.99,RU,1675830043
282,mandapam,9.2833,79.1167,25.93,79,34,6.81,IN,1675830043
283,meulaboh,4.1363,96.1285,28.73,65,69,0.52,ID,1675830044
284,prince rupert,54.3161,-130.3201,3.05,93,100,5.14,CA,1675829534
285,guerrero negro,27.9769,-114.0611,16.17,35,0,3.14,MX,1675829821
286,nalut,30.3333,10.85,13.56,42,97,4.69,LY,1675830044
287,kavieng,-2.5744,150.7967,27.64,78,100,4.11,PG,1675829740
288,mlowo,-9.0,32.9833,15.29,87,100,1.04,TZ,1675830045
289,payson,40.0444,-111.7321,-0.23,77,75,1.54,US,1675829960
290,qui nhon,13.7667,109.2333,26.13,76,97,2.07,VN,1675830045
291,okhotsk,59.3833,143.3,-23.19,80,82,5.09,RU,1675830045
292,luderitz,-26.6481,15.1594,18.2,83,17,8.17,NA,1675829746
293,batemans bay,-35.7167,150.1833,21.17,82,100,0.84,AU,1675829894
294,teeli,51.0333,90.2333,-20.25,93,97,1.03,RU,1675830046
295,byron bay,-28.65,153.6167,28.3,57,88,4.47,AU,1675829847
296,burnie,-41.0667,145.9167,17.75,88,99,3.43,AU,1675830046
297,ouahigouya,13.5828,-2.4216,24.37,17,82,4.33,BF,1675830047
298,kailua,21.4022,-157.7394,25.99,82,28,2.68,US,1675830047
299,luganville,-15.5333,167.1667,29.2,71,100,3.5,VU,1675829809
300,bilma,18.6853,12.9164,18.39,23,100,3.61,NE,1675830048
301,plettenberg bay,-34.0527,23.3716,19.09,84,100,2.68,ZA,1675829774
302,zemio,5.0314,25.1361,19.4,23,44,1.62,CF,1675830048
303,belyy yar,53.6039,91.3903,-14.06,92,100,0.0,RU,1675829845
304,moche,-8.1711,-79.0092,22.1,88,75,3.09,PE,1675830049
305,granville,-33.8333,151.0167,28.49,71,75,8.23,AU,1675830049
306,camacha,33.0833,-16.3333,12.68,77,40,6.69,PT,1675829751
307,faanui,-16.4833,-151.75,27.22,72,25,5.21,PF,1675829574
308,naze,28.3667,129.4833,17.51,65,86,6.54,JP,1675829908
309,kurskaya,44.05,44.45,-5.91,95,100,4.38,RU,1675830049
310,namibe,-15.1961,12.1522,20.72,77,95,2.55,AO,1675829735
311,youkounkoun,12.5333,-13.1333,23.12,20,56,0.26,GN,1675830050
312,verkhnetulomskiy,68.6073,31.7962,0.07,92,18,2.27,RU,1675830050
313,warmbad,-28.45,18.7333,21.81,49,43,1.16,NA,1675830051
314,noumea,-22.2763,166.4572,31.11,99,99,4.31,NC,1675830051
315,hami,42.8,93.45,1.37,77,100,2.26,CN,1675829901
316,san jeronimo,-11.9472,-75.2829,9.8,78,81,1.5,PE,1675830051
317,yumen,40.2833,97.2,0.66,41,30,7.06,CN,1675829862
318,salalah,17.0151,54.0924,21.05,56,0,1.03,OM,1675829873
319,koulikoro,14.0,-7.75,20.28,16,49,3.95,ML,1675830052
320,bang rakam,16.7585,100.1174,33.91,56,20,2.57,TH,1675830052
321,san carlos del zulia,9.0,-71.9135,23.85,83,32,1.35,VE,1675830053
322,los llanos de aridane,28.6585,-17.9182,12.86,55,20,2.57,ES,1675829755
323,changji,44.0167,87.3167,-6.56,93,75,1.0,CN,1675830053
324,orhei,47.3831,28.8231,-5.12,72,71,5.35,MD,1675830053
325,nogliki,51.8333,143.1667,-17.69,89,100,5.82,RU,1675830054
326,talnakh,69.4865,88.3972,-23.53,98,97,3.09,RU,1675829443
327,migori,-1.0634,34.4731,16.52,77,84,2.18,KE,1675830054
328,veinticinco de mayo,-35.4323,-60.1727,22.77,69,37,4.15,AR,1675830055
329,chokurdakh,70.6333,147.9167,-37.27,99,100,1.55,RU,1675829804
330,catabola,-12.15,17.2833,15.9,77,100,0.37,AO,1675830055
331,reconquista,-29.15,-59.65,26.47,30,0,3.41,AR,1675830014
332,ostersund,63.1792,14.6357,1.25,80,57,6.17,SE,1675830056
333,buraydah,26.326,43.975,8.25,46,100,3.29,SA,1675830056
334,orlik,52.5178,99.825,-18.11,86,87,0.78,RU,1675829906
335,kango,0.1943,10.0951,23.32,97,62,0.43,GA,1675830056
336,erenhot,43.6475,111.9767,-6.27,47,100,1.46,CN,1675829569
337,zabol,32.25,67.25,1.96,70,100,3.32,AF,1675830057
338,zhezkazgan,47.8043,67.7144,-13.01,85,100,4.0,KZ,1675830057
339,quang ngai,15.1167,108.8,27.04,75,66,2.5,VN,1675830057
340,manjacaze,-24.7117,33.8828,22.64,97,85,2.14,MZ,1675830058
341,noshiro,40.2039,140.0242,1.46,54,88,4.45,JP,1675830058
342,bourail,-21.5667,165.4833,27.74,77,99,2.06,NC,1675829882
343,sangmelima,2.9333,11.9833,18.75,100,63,1.11,CM,1675830059
344,yinchuan,38.4681,106.2731,0.84,39,100,2.38,CN,1675829781
345,montrose,38.4166,-108.2673,-9.33,76,4,0.86,US,1675829838
346,beira,-19.8436,34.8389,25.05,100,40,1.03,MZ,1675830059
347,sines,37.9562,-8.8698,8.49,88,38,4.87,PT,1675830059
348,ixtapa,20.7,-105.2,21.24,83,0,0.0,MX,1675830060
349,divnogorsk,55.9594,92.3619,-11.73,92,98,1.74,RU,1675830060
350,kasempa,-13.4584,25.8338,16.59,98,100,2.83,ZM,1675830061
351,klaksvik,62.2266,-6.589,7.74,82,100,25.55,FO,1675829794
352,mount isa,-20.7333,139.5,32.87,49,40,3.09,AU,1675829793
353,zhanaozen,43.3,52.8,1.82,79,97,6.95,KZ,1675830061
354,genhe,50.7833,121.5167,-15.46,82,89,1.59,CN,1675830062
355,inta,66.0317,60.1659,-9.81,90,100,13.17,RU,1675830062
356,xinpu,34.5997,119.1594,7.97,64,96,5.53,CN,1675830063
357,buala,-8.145,159.5921,27.71,83,93,3.44,SB,1675829816
358,mnogovershinnyy,53.9353,139.9242,-25.14,82,81,1.09,RU,1675830064
359,jalu,29.0331,21.5482,8.74,61,81,2.77,LY,1675829595
360,wanning,18.8003,110.3967,25.35,76,32,3.71,CN,1675830064
361,tasiilaq,65.6145,-37.6368,-17.91,42,0,9.77,GL,1675829760
362,verkhoyansk,67.5447,133.385,-42.98,95,73,0.21,RU,1675829912
363,mandurah,-32.55,115.7,27.25,55,0,6.41,AU,1675829930
